,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
172,Banda Aceh,57,ID,1563938624,77,5.56,95.32,301.642,4.75
173,Guarapari,20,BR,1563938624,100,-20.67,-40.5,292.04,0.5
174,Thompson,40,CA,1563938336,42,55.74,-97.86,300.15,5.1
175,Diego de Almagro,59,CL,1563938624,91,-26.39,-70.05,277.602,0.31
176,Hamilton,75,CA,1563938561,48,43.26,-79.87,296.15,2.1
177,Tocache,94,PE,1563938625,94,-8.19,-76.51,284.812,1.8
178,Ofaqim,0,IL,1563938625,71,31.31,34.62,295.37,2.01
179,Kodiak,75,US,1563938625,83,39.95,-94.76,294.82,1.82
180,Santa Marta,90,CO,1563938625,83,11.24,-74.21,301.15,5.88
181,Airai,5,TL,1563938625,38,-8.93,125.41,300.842,1.44
182,Celestun,67,MX,1563938626,80,20.87,-90.4,300.562,7.98
183,Fortuna Foothills,1,US,1563938423,26,32.66,-114.41,312.15,4.1
184,Toora-Khem,96,RU,1563938626,40,52.47,96.11,297.352,0.74
185,Mumbwa,0,ZM,1563938626,56,-14.99,27.06,281.432,1.56
186,Severo-Kurilsk,100,RU,1563938626,93,50.68,156.12,281.222,1.29
187,Kara,100,TG,1563938627,92,9.55,1.2,295.162,1.66
188,Hannibal,1,US,1563938505,68,39.71,-91.36,296.48,3.1
189,Sorland,100,NO,1563938627,97,67.67,12.69,284.722,7.09
190,Isangel,75,VU,1563938627,64,-19.55,169.27,297.15,6.2
191,Coffs Harbour,0,AU,1563938627,30,-30.3,153.13,297.04,4.1
192,Kiama,0,AU,1563938627,31,-34.67,150.86,291.15,2.6
193,Arraial do Cabo,0,BR,1563938628,86,-22.97,-42.02,293.362,7.53
194,Noumea,40,NC,1563938490,43,-22.28,166.46,296.15,6.7
195,Nantucket,75,US,1563938628,93,41.28,-70.1,291.15,2.1
196,Diamantino,0,BR,1563938628,42,-14.4,-56.44,295.752,2.15
197,Tabory,98,PL,1563938629,92,53.89,19.53,290.37,1.33
198,Sao Filipe,100,CV,1563938629,86,14.9,-24.5,296.442,8.05
199,Alofi,62,NU,1563938629,61,-19.06,-169.92,298.15,3.6
200,Deer Lake,90,CA,1563938629,82,49.18,-57.43,288.15,2.6
201,Fort Smith,1,US,1563938357,69,35.39,-94.42,297.15,2.6
202,Whitianga,100,NZ,1563938630,80,-36.83,175.7,288.15,2.24
203,Cidreira,100,BR,1563938630,93,-30.17,-50.22,291.102,3.33
204,Nouadhibou,20,MR,1563938630,88,20.93,-17.03,293.15,6.2
205,Mahebourg,75,MU,1563938630,83,-20.41,57.7,294.15,8.2
206,Douglas,75,US,1563938630,63,58.28,-134.39,293.15,4.1
207,Intipuca,100,SV,1563938631,74,13.2,-88.05,302.062,5.37
208,Beloha,0,MG,1563938631,77,-25.17,45.06,286.012,2.66
209,Necochea,30,AR,1563938631,87,-38.55,-58.74,272.59,0.89
210,Oyem,100,GA,1563938631,99,1.6,11.57,292.302,1.26
211,Meridian,1,US,1563938631,44,43.61,-116.39,301.15,2.1
212,Ilulissat,100,GL,1563938382,57,69.22,-51.1,284.15,1.37
213,Norman Wells,20,CA,1563938632,42,65.28,-126.83,301.15,5.1
214,Maceio,75,BR,1563938419,83,-9.67,-35.74,296.15,0.07
215,Mirzapur,40,IN,1563938632,74,25.15,82.57,303.15,1.5
216,Amberieu-en-Bugey,0,FR,1563938632,47,45.96,5.34,300.15,1.5
217,Te Anau,33,NZ,1563938632,71,-45.41,167.72,281.202,0.26
218,Caloundra,0,AU,1563938633,49,-26.8,153.14,298.71,4.6
219,Shimoda,20,JP,1563938633,74,34.7,138.93,302.15,2.6
220,Chicama,100,PE,1563938633,90,-7.84,-79.15,289.782,7.51
221,Rio Grande,100,BR,1563938633,99,-32.03,-52.1,288.15,0.45
222,Namatanai,100,PG,1563938634,90,-3.66,152.44,298.222,8.54
223,Faanui,100,PF,1563938634,81,-16.48,-151.75,299.692,4.54
224,Warwick,90,US,1563938607,88,41.7,-71.42,292.15,0.99
225,Santa Leopoldina,20,BR,1563938634,100,-20.1,-40.53,292.04,0.5
226,Mayo,75,CA,1563938634,34,63.59,-135.9,299.15,2.1
227,Tiksi,22,RU,1563938634,65,71.64,128.87,279.622,2.6
228,Atoyatempan,90,MX,1563938634,82,18.82,-97.91,288.71,2.1
229,Kaeo,0,NZ,1563938363,83,-35.1,173.78,290.37,1.34
230,Meulaboh,97,ID,1563938635,74,4.14,96.13,300.602,2.78
231,Saint Lawrence,20,MT,1563938635,100,36.06,14.2,297.59,1.5
232,Sisimiut,0,GL,1563938635,90,66.94,-53.67,278.272,7.37
233,Durazno,100,UY,1563938486,78,-33.38,-56.52,281.422,5.77
234,Senta,0,RS,1563938636,80,45.93,20.08,289.332,2.61
235,Broome,100,GB,1563938519,73,52.47,1.45,295.93,4.6
236,Acapulco,75,MX,1563938470,78,16.86,-99.88,300.15,1.21
237,Mayahi,0,NE,1563938636,52,13.95,7.67,302.242,4.97
238,Nanortalik,100,GL,1563938636,97,60.14,-45.24,277.662,1.78
239,Trat,40,TH,1563938637,83,12.25,102.51,303.71,4.1
240,Capinopolis,0,BR,1563938637,58,-18.68,-49.57,293.632,4.1
241,Kloulklubed,75,PW,1563938637,74,7.04,134.26,302.15,3.6
242,Petropavlovka,100,RU,1563938637,73,50.61,105.32,289.552,3.33
243,Shaygino,71,RU,1563938637,82,57.77,46.86,288.102,1.08
244,Soderhamn,1,SE,1563938637,82,61.3,17.06,289.26,1.79
245,Hofn,100,IS,1563938638,95,64.25,-15.21,276.952,6.72
246,Bubaque,100,GW,1563938638,86,11.28,-15.83,299.102,7.37
247,Baruun-Urt,100,MN,1563938638,80,46.68,113.28,290.412,5.04
248,Lata,68,IN,1563938638,73,30.78,78.62,284.492,2.33
249,Orsta,31,NO,1563938639,100,62.2,6.13,289.82,1.5
250,Key West,1,US,1563938353,82,47.93,-96.78,294.26,2.1
251,Hicaque,40,HN,1563938639,83,15.76,-87.34,301.15,2.1
252,Haimen,100,CN,1563938639,58,31.87,121.18,312.04,1.34
253,Adrar,0,DZ,1563938639,14,27.87,-0.29,305.15,4.1
254,Akhtubinsk,2,RU,1563938639,37,48.29,46.17,296.992,3.27
255,Westport,90,US,1563938635,93,41.14,-73.36,293.71,2.1
256,Deleni,8,RO,1563938640,100,46.67,24.28,288.15,0.31
257,Madras,1,US,1563938640,52,44.63,-121.13,296.48,1.5
258,Sola,0,TZ,1563938640,42,-3.17,33.8,288.812,2.01
259,Iqaluit,20,CA,1563938460,86,63.75,-68.52,276.15,2.6
260,Geraldton,40,CA,1563938640,72,49.72,-86.95,292.15,2.1
261,Bloemhof,0,ZA,1563938641,85,-27.65,25.61,276.032,3.97
262,Kenai,90,US,1563938641,82,60.55,-151.26,290.93,6.7
263,Panaba,1,MX,1563938641,81,21.28,-88.27,299.152,2.51
264,Pevek,78,RU,1563938641,91,69.7,170.27,273.752,3.57
265,Lagoa,0,PT,1563938466,94,37.14,-8.45,296.48,1.5
266,Youghal,40,IE,1563938642,93,51.95,-7.85,290.37,4.6
267,Belmonte,0,PT,1563938642,62,40.36,-7.35,294.82,0.4
268,Nogliki,100,RU,1563938642,89,51.8,143.14,283.522,9.56
269,Merauke,41,ID,1563938642,83,-8.49,140.4,298.912,8.27
270,Ewo,100,CG,1563938642,70,-0.88,14.81,296.902,3.4
271,Poum,0,MK,1563938642,77,41.28,20.71,288.15,2.1
272,Alekseyevka,0,RU,1563938643,82,53.25,50.49,289.15,1.0
273,Hovd,75,NO,1563938643,93,63.83,10.7,290.37,2.1
274,Vangaindrano,74,MG,1563938644,92,-23.35,47.6,287.342,1.33
275,Terrace,75,CA,1563938644,49,54.52,-128.61,293.15,10.3
276,Oskarshamn,0,SE,1563938644,100,57.26,16.44,291.48,1.0
277,Aras,0,ES,1563938644,73,42.56,-2.36,294.26,0.5
278,Egvekinot,100,RU,1563938644,92,66.32,-179.17,280.192,0.77
279,Lavrentiya,100,RU,1563938645,94,65.58,-170.99,281.352,2.64
280,Rio Gallegos,0,AR,1563938645,72,-51.62,-69.22,273.15,3.6
281,Salalah,90,OM,1563938418,100,17.01,54.1,298.15,2.1
282,Bosaso,100,SO,1563938403,60,11.28,49.18,304.322,7.49
283,Honningsvag,0,NO,1563938645,64,70.98,25.97,293.15,6.2
284,Puerto Lleras,40,CO,1563938646,54,8.16,-72.46,300.15,6.7
285,Verkhnevilyuysk,0,RU,1563938646,36,63.45,120.31,300.262,1.42
286,Christchurch,17,NZ,1563938458,81,-43.53,172.64,285.15,4.6
287,Hasaki,75,JP,1563938646,78,35.73,140.83,302.59,5.7
288,Aklavik,40,CA,1563938646,53,68.22,-135.01,295.15,7.7
289,Batagay-Alyta,53,RU,1563938647,30,67.8,130.41,295.522,6.15
290,Vammala,0,FI,1563938647,100,61.34,22.91,287.15,1.5
291,Erzin,0,TR,1563938647,69,36.95,36.2,299.26,4.6
292,Saurimo,60,AO,1563938647,34,-9.66,20.4,287.352,2.74
293,Menongue,0,AO,1563938647,40,-14.66,17.68,281.602,1.58
294,Vila Velha,40,BR,1563938647,78,-3.71,-38.6,303.15,1.0
295,Seymchan,39,RU,1563938648,33,62.93,152.39,289.352,1.14
296,Bagdarin,45,RU,1563938648,51,54.44,113.59,292.372,1.63
297,Nalut,0,LY,1563938648,62,31.86,10.98,292.482,2.22
298,Xuanzhou,100,CN,1563938648,63,30.95,118.78,306.622,3.68
299,Great Yarmouth,67,GB,1563938648,73,52.61,1.73,296.48,4.6
300,Chimbote,100,PE,1563938649,89,-9.08,-78.59,290.012,6.71
301,Moyale,65,ET,1563938649,76,3.52,39.05,290.742,3.53
302,Comodoro Rivadavia,0,AR,1563938649,56,-45.87,-67.48,280.15,6.2
303,Aripuana,3,BR,1563938649,64,-9.17,-60.63,295.932,0.03
304,Muros,0,ES,1563938649,100,42.77,-9.06,289.82,4.43
305,Chadiza,0,ZM,1563938649,65,-14.06,32.43,282.742,1.99
306,Sovetskiy,81,RU,1563938650,80,56.76,48.47,288.682,0.83
307,Dubti,100,ET,1563938650,33,11.74,41.09,307.702,3.1
308,Gornopravdinsk,70,RU,1563938650,63,60.06,69.92,292.842,3.37
309,El Tigre,99,VE,1563938650,77,8.89,-64.25,298.042,5.37
310,Amga,0,RU,1563938651,27,60.89,131.98,298.272,1.84
311,Cananeia,0,BR,1563938651,83,-25.01,-47.93,292.412,1.65
312,Port Hedland,88,AU,1563938651,12,-20.31,118.58,301.15,6.7
313,Tuatapere,2,NZ,1563938651,76,-46.13,167.69,284.82,1.34
314,Port-Cartier,90,CA,1563938651,82,50.03,-66.88,289.15,1.5
315,Altea,0,ES,1563938650,47,38.6,-0.05,298.15,1.0
316,Port Elizabeth,90,US,1563938652,94,39.31,-74.98,294.82,3.6
317,Nagapattinam,100,IN,1563938652,77,10.76,79.84,299.452,4.61
318,Sungairaya,99,ID,1563938652,82,0.7,108.9,300.382,7.19
319,Bethel,20,US,1563938652,59,60.79,-161.76,292.15,3.6
320,Talladega,1,US,1563938652,64,33.44,-86.11,297.59,4.15
321,Clyde River,75,CA,1563938653,87,70.47,-68.59,284.15,3.1
322,Holden,20,US,1563938364,93,42.35,-71.86,291.48,2.1
323,Moreira Sales,94,BR,1563938653,67,-24.05,-53.01,293.532,4.36
324,Mayumba,3,GA,1563938653,88,-3.44,10.65,294.412,1.87
325,Presidencia Roque Saenz Pena,100,AR,1563938397,85,-26.79,-60.44,282.222,4.93
326,Vilkaviskis,0,LT,1563938653,96,54.65,23.03,286.052,2.3
327,Beni,62,CD,1563938654,98,0.49,29.47,289.942,0.48
328,Maragogi,12,BR,1563938654,95,-9.01,-35.22,293.952,1.67
329,Provideniya,90,RU,1563938654,81,64.42,-173.23,285.15,4.0
330,San Cristobal,100,HN,1563938654,79,14.68,-86.92,294.302,4.13
331,North Bend,1,US,1563938520,77,43.41,-124.22,291.48,4.6
332,Buala,25,SB,1563938655,75,-8.15,159.59,301.002,7.13
333,Longyearbyen,75,NO,1563938655,87,78.22,15.63,280.15,2.1
334,Kamen-Rybolov,32,RU,1563938655,82,44.75,132.04,298.692,5.68
335,Delijan,2,IR,1563938655,8,33.99,50.69,299.242,1.01
336,Esna,90,RO,1563938655,88,45.2,27.57,294.15,4.1
337,Sungaipenuh,100,ID,1563938656,69,-2.08,101.38,300.922,0.83
338,Chilca,99,PE,1563938656,85,-13.22,-72.34,280.412,2.36
339,San Angelo,1,US,1563938656,44,31.46,-100.44,299.26,2.1
340,Sayyan,41,YE,1563938656,68,15.17,44.32,295.252,0.9
341,Khorixas,0,NA,1563938656,69,-20.37,14.96,282.822,1.79
342,Honiara,40,SB,1563938657,66,-9.43,159.96,303.15,5.1
343,Kovdor,35,RU,1563938657,67,67.56,30.47,292.002,0.67
344,Dhandhuka,100,IN,1563938657,78,22.38,71.98,302.782,6.42
345,Vila Praia de Ancora,75,PT,1563938657,93,41.81,-8.85,291.48,1.5
346,Namibe,13,AO,1563938657,74,-15.19,12.15,291.772,4.23
347,Sredniy Ikorets,100,RU,1563938658,89,51.07,39.76,290.802,1.82
348,Sukumo,92,JP,1563938658,68,32.94,132.72,301.192,3.51
349,Owando,92,CG,1563938658,79,-0.49,15.91,295.652,0.86
350,Grenville,40,CA,1563938659,82,45.62,-74.6,293.15,1.66
351,Chanika,0,MW,1563938659,60,-12.93,34.19,283.712,1.36
352,Yazd,20,IR,1563938659,9,31.89,54.36,301.15,1.0
353,Klaksvik,100,FO,1563938659,100,62.23,-6.59,285.15,6.2
354,Lompoc,20,US,1563938588,87,34.64,-120.46,296.48,3.6
355,Vadso,0,NO,1563938659,72,70.07,29.75,291.15,2.1
356,Tokomaru,99,NZ,1563938660,61,-40.47,175.51,288.71,1.79
357,Porto San Giorgio,0,IT,1563938660,77,43.18,13.79,296.48,1.5
358,San Patricio,95,PY,1563938404,97,-26.98,-56.83,287.822,2.71
359,Luderitz,0,NA,1563938660,93,-26.65,15.16,284.15,1.0
360,Teguldet,6,RU,1563938660,48,57.31,88.17,293.182,2.54
361,Russell,1,US,1563938660,49,38.9,-98.86,295.93,4.1
362,Skjervoy,100,NO,1563938661,98,70.03,20.97,284.732,3.02
363,Saint Anthony,20,US,1563938466,34,43.97,-111.68,299.15,4.1
364,Shyroke,100,UA,1563938661,71,47.96,38.23,293.342,4.81
365,Tarko-Sale,70,RU,1563938661,75,64.92,77.78,289.26,8.28
366,Sistranda,75,NO,1563938661,100,63.73,8.83,292.04,4.1
367,Kahului,20,US,1563938661,48,20.89,-156.47,304.15,7.7
368,Along,100,IN,1563938662,98,28.17,94.8,290.552,1.01
369,Martapura,10,ID,1563938662,58,-3.41,114.85,302.352,3.61
370,Namyslow,0,PL,1563938662,93,51.08,17.72,288.71,0.5
371,Bud,0,NO,1563938662,93,62.91,6.91,289.15,3.1
372,Aguimes,20,ES,1563938662,77,27.91,-15.45,294.15,13.9
373,Goderich,17,CA,1563938513,89,43.74,-81.71,290.93,4.36
